u	C	S
-5.7957957958	-0.5332967510821143	-0.5436608944451035
-5.77577577578	-0.5468195442297494	-0.5290481636077577
-5.75575575576	-0.5542678159852823	-0.5105832950198259
-5.73573573574	-0.5546940022016956	-0.4906765958118202
-5.71571571572	-0.5480659602959355	-0.471900082575328
-5.6956956957	-0.5352556268274217	-0.4566549612951455
-5.67567567568	-0.517912659885453	-0.44686875986296565
-5.65565565566	-0.49824259667170623	-0.4437596401849818
-5.63563563564	-0.47872039425449026	-0.447695538142751
-5.61561561562	-0.46177717877071256	-0.45816285363991793
-5.5955955956	-0.44949995304396806	-0.473845214256957
-5.57557557558	-0.44338091892997444	-0.4927991976301225
-5.55555555556	-0.4441455956031709	-0.5127024784803831
-5.53553553554	-0.4516781995625632	-0.5311419564583977
-5.51551551552	-0.4650502690625783	-0.5459058067672636
-5.4954954955	-0.48264586798982034	-0.5552442949654434
-5.47547547548	-0.5023654222088936	-0.558069270404886
-5.45545545546	-0.5218816027510836	-0.554070678168641
-5.43543543544	-0.5389155631836122	-0.5437390340891531
-5.41541541542	-0.5515006814753645	-0.5282942289391476
-5.3953953954	-0.5582036792927958	-0.5095318874946644
-5.37537537538	-0.5582790748807699	-0.4896075738068101
-5.35535535536	-0.5517414916265991	-0.4707854542041576
-5.33533533534	-0.5393502814626947	-0.4551810250566131
-5.31531531532	-0.5225110281993287	-0.44452701822554536
-5.2952952953	-0.5031076209719382	-0.4399878541918686
-5.27527527528	-0.48328576178242505	-0.44204161342725845
-5.25525525526	-0.46521329964703023	-0.450440294518914
-5.23523523524	-0.45084430870141895	-0.46425012544872857
-5.21521521522	-0.44171234311470337	-0.4819649224106878
-5.1951951952	-0.4387741318780425	-0.5016778910798493
-5.17517517518	-0.44231871753273194	-0.5212915959835956
-5.15515515516	-0.45194947967587407	-0.5387425877285115
-5.13513513514	-0.4666384931191404	-0.5522165870435733
-5.11511511512	-0.48484511987685763	-0.5603320964559143
-5.0950950951	-0.5046843916412671	-0.5622744971595561
-5.07507507508	-0.5241261988204327	-0.5578685320863077
-5.05505505506	-0.5412039330307067	-0.5475838806536153
-5.03503503504	-0.5542111544520862	-0.5324755447358371
-5.01501501502	-0.5618669533583308	-0.5140672633089814
-4.99499499499	-0.5634346127149583	-0.49419152732272786
-4.97497497497	-0.5587834577223542	-0.4748035040831308
-4.95495495495	-0.548389797529947	-0.4577880210478682
-4.93493493493	-0.5332789876693805	-0.4447786281397653
-4.91491491491	-0.5149162630377028	-0.43700578039443627
-4.89489489489	-0.49505859248741324	-0.4351876566658597
-4.87487487487	-0.47558300166387346	-0.43947248424155666
-4.85485485485	-0.45830837551799375	-0.44943598285318226
-4.83483483483	-0.4448276313915505	-0.46413220939983735
-4.81481481481	-0.436365456769383	-0.48219118383017856
-4.79479479479	-0.43367378315524346	-0.5019526404034753
-4.77477477477	-0.43697317703195643	-0.521622401071512
-4.75475475475	-0.445943794718382	-0.5394364014915416
-4.73473473473	-0.45976491636299316	-0.553817367838065
-4.71471471471	-0.4771977708557221	-0.5635104623240371
-4.69469469469	-0.4967027555782427	-0.5676866882889102
-4.67467467467	-0.516579523039971	-0.5660061825904482
-4.65465465465	-0.5351169250909943	-0.5586373769175024
-4.63463463463	-0.550739535527861	-0.5462320111990618
-4.61461461461	-0.5621383639961927	-0.5298597741944753
-4.59459459459	-0.5683752807862168	-0.5109096137906906
-4.57457457457	-0.5689533684278912	-0.4909672544442219
-4.55455455455	-0.5638486246421792	-0.4716800167051677
-4.53453453453	-0.5535018603896197	-0.4546205799868135
-4.51451451451	-0.5387729677159036	-0.4411608812163615
-4.49449449449	-0.5208627041188425	-0.4323659973167242
-4.47447447447	-0.5012095311331526	-0.4289157847374237
-4.45445445445	-0.4813706959452844	-0.4310594590898713
-4.43443443443	-0.46289756882464583	-0.43860543401515284
-4.41441441441	-0.44721523181261225	-0.45094584756642964
-4.39439439439	-0.4355155098323049	-0.4671125182091799
-4.37437437437	-0.428671157376741	-0.485858789907147
-4.35435435435	-0.427176920569422	-0.5057599995234416
-4.33433433433	-0.4311208730961589	-0.5253242282762915
-4.31431431431	-0.4401869747400773	-0.5431046226834632
-4.29429429429	-0.45368741800844054	-0.5578048732788663
-4.27427427427	-0.4706211874360496	-0.5683703546374101
-4.25425425425	-0.48975350228223424	-0.5740588496027057
-4.23423423423	-0.5097095515851254	-0.5744865658075559
-4.21421421421	-0.5290752216339577	-0.5696471482110151
-4.19419419419	-0.5464973753122652	-0.5599034379276162
-4.17417417417	-0.5607766431447546	-0.5459536736150736
-4.15415415415	-0.5709465626880643	-0.5287755441600634
-4.13413413413	-0.5763341620897695	-0.5095528741010187
-4.11411411411	-0.5765986108875403	-0.4895906820797904
-4.09409409409	-0.5717462317263012	-0.4702248583846151
-4.07407407407	-0.5621218552682539	-0.45273275583328343
