x1	Amplitude	Phase
-29.2619261926	0.237789356001	0.571764680823
-29.2559255926	0.23928688245	0.606442319215
-29.2499249925	0.240776636124	0.641137120345
-29.2439243924	0.242258537179	0.675848496467
-29.2379237924	0.243732506574	0.710575876635
-29.2319231923	0.245198466053	0.745318706093
-29.2259225923	0.246656338135	0.780076445703
-29.2199219922	0.248106046092	0.814848571382
-29.2139213921	0.249547513944	0.849634573579
-29.2079207921	0.250980666444	0.884433956757
-29.201920192	0.252405429063	0.919246238907
-29.195919592	0.253821727986	0.954070951078
-29.1899189919	0.255229490093	0.988907636927
-29.1839183918	0.256628642956	1.02375585228
-29.1779177918	0.258019114824	1.05861516474
-29.1719171917	0.259400834618	1.09348515323
-29.1659165917	0.26077373192	1.12836540769
-29.1599159916	0.262137736966	1.16325552865
